Designator,Mid X,Mid Y,Rotation,Layer
C1,144.041118,-102.175483,180.0,top
C10,156.75,-109.0,270.0,top
C11,137.25,-104.0,270.0,top
C12,129.75,-98.0,180.0,top
C13,138.75,-89.25,90.0,top
C14,146.5,-94.25,0.0,top
C15,146.5,-93.25,0.0,top
C16,143.25,-92.0,90.0,top
C17,136.25,-104.0,270.0,top
C18,135.5,-89.25,90.0,top
C19,139.75,-89.25,90.0,top
C2,143.541118,-99.655483,270.0,top
C20,129.75,-95.5,180.0,top
C21,129.75,-94.0,180.0,top
C22,131.0,-103.0,180.0,top
C23,143.75,-80.75,90.0,top
C24,142.48,-103.25,0.0,top
C25,141.73,-104.25,0.0,top
C3,144.541118,-99.655483,270.0,top
C4,152.98,-88.0,0.0,top
C5,127.75,-95.27,270.0,top
C6,127.75,-97.5,90.0,top
C8,156.75,-106.25,270.0,top
C9,152.0,-103.5,0.0,top
D1,148.6,-113.25,180.0,top
D2,128.5,-86.0,90.0,top
J1,155.0,-96.0,90.0,top
J2,123.975,-106.0,180.0,top
J3,140.0,-73.0,180.0,top
J4,139.46,-121.895,90.0,top
L1,146.541118,-99.175483,270.0,top
R1,146.041118,-102.175483,180.0,top
R11,145.5,-110.75,90.0,top
R12,134.25,-82.5,90.0,top
R13,135.25,-82.5,90.0,top
R14,136.25,-82.5,90.0,top
R15,137.25,-82.5,90.0,top
R16,138.25,-82.5,90.0,top
R17,139.25,-82.5,90.0,top
R18,140.25,-82.5,90.0,top
R19,141.25,-82.5,90.0,top
R20,143.009999,-86.0,180.0,top
R21,143.009999,-85.0,180.0,top
R22,130.009999,-104.25,180.0,top
R23,130.009999,-105.25,180.0,top
R3,152.5,-81.25,90.0,top
R4,126.0,-81.0,90.0,top
R5,129.75,-97.0,180.0,top
R6,146.5,-95.5,0.0,top
R7,146.5,-96.5,0.0,top
R8,149.25,-97.75,90.0,top
R9,149.25,-93.759999,270.0,top
SW1,156.5,-82.0,270.0,top
SW2,122.5,-82.0,90.0,top
U1,137.0,-96.6375,0.0,top
U2,148.5,-85.0,180.0,top
U3,151.5,-108.0,0.0,top
Y1,125.0,-95.9,90.0,top
